orgao_superior_codigo_siorg,orgao_superior_nome,orgao_superior_sigla,orgao_codigo_siorg,orgao_nome,orgao_sigla,orgao_como_no_raiox_nome,orgao_como_no_raiox_sigla,ano_mes_referencia,quantidade_servidores_cedidos_apf,quantidade_servidores_cedidos_outros,quantidade_servidores_cedidos,quantidade_servidores_quadro_pessoal,quantidade_estagiarios
46,ADVOCACIA-GERAL DA UNIÃO,AGU,46,ADVOCACIA-GERAL DA UNIÃO,AGU,ADVOCACIA-GERAL DA UNIÃO,AGU,202203,155,65,220,6803,441
214460,CONTROLADORIA-GERAL DA UNIÃO,CGU,214460,CONTROLADORIA-GERAL DA UNIÃO,CGU,CONTROLADORIA-GERAL DA UNIÃO,CGU,202203,146,49,195,1854,31
14,"MINISTÉRIO DA AGRICULTURA, PECUÁRIA E ABASTECIMENTO",MAPA,1799,INSTITUTO NACIONAL DE COLONIZAÇÃO E REFORMA AGRÁRIA,INCRA,INSTITUTO NACIONAL DE COLONIZAÇÃO E REFORMA AGRÁRIA,INCRA,202203,102,28,130,3026,129
14,"MINISTÉRIO DA AGRICULTURA, PECUÁRIA E ABASTECIMENTO",MAPA,14,"MINISTÉRIO DA AGRICULTURA, PECUÁRIA E ABASTECIMENTO",MAPA,"MINISTÉRIO DA AGRICULTURA, PECUÁRIA E ABASTECIMENTO",MAPA,202203,116,100,216,6324,121
235874,MINISTÉRIO DA CIDADANIA,MCIDADANIA,235874,MINISTÉRIO DA CIDADANIA,MCIDADANIA,MINISTÉRIO DA CIDADANIA,MCIDADANIA,202203,65,23,88,404,57
267175,"MINISTÉRIO DA CIÊNCIA, TECNOLOGIA E INOVAÇÕES",MCTI,267175,"MINISTÉRIO DA CIÊNCIA, TECNOLOGIA E INOVAÇÕES",MCTI,"MINISTÉRIO DA CIÊNCIA, TECNOLOGIA E INOVAÇÕES",MCTI,202203,132,76,208,3008,173
267175,"MINISTÉRIO DA CIÊNCIA, TECNOLOGIA E INOVAÇÕES",MCTI,223,COMISSÃO NACIONAL DE ENERGIA NUCLEAR,CNEN,COMISSÃO NACIONAL DE ENERGIA NUCLEAR,CNEN,202203,5,0,5,1557,1
267175,"MINISTÉRIO DA CIÊNCIA, TECNOLOGIA E INOVAÇÕES",MCTI,4243,AGÊNCIA ESPACIAL BRASILEIRA,AEB,AGÊNCIA ESPACIAL BRASILEIRA,AEB,202203,6,1,7,53,26
267175,"MINISTÉRIO DA CIÊNCIA, TECNOLOGIA E INOVAÇÕES",MCTI,25064,AGÊNCIA NACIONAL DE TELECOMUNICAÇÕES,ANATEL,AGÊNCIA NACIONAL DE TELECOMUNICAÇÕES,ANATEL,202203,50,6,56,1317,91
267175,"MINISTÉRIO DA CIÊNCIA, TECNOLOGIA E INOVAÇÕES",MCTI,8,CONSELHO NACIONAL DE DESENVOLVIMENTO CIENTÍFICO E TECNOLÓGICO,CNPQ,CONSELHO NACIONAL DE DESENVOLVIMENTO CIENTÍFICO E TECNOLÓGICO,CNPQ,202203,26,15,41,352,13
41066,MINISTÉRIO DA DEFESA,MD,8406,FUNDAÇÃO OSÓRIO,FOSORIO,FUNDAÇÃO OSÓRIO,FOSORIO,202203,0,0,0,59,0
41066,MINISTÉRIO DA DEFESA,MD,41066,MINISTÉRIO DA DEFESA,MD,MINISTÉRIO DA DEFESA,MD,202203,41,4,45,1406,155
41066,MINISTÉRIO DA DEFESA,MD,48,COMANDO DA AERONÁUTICA,C.AER,COMANDO DA AERONÁUTICA,C.AER,202203,0,0,0,0,0
41066,MINISTÉRIO DA DEFESA,MD,48,COMANDO DA AERONÁUTICA,C.AER,COMANDO DA AERONÁUTICA,C.AER,202203,31,6,37,3295,39
41066,MINISTÉRIO DA DEFESA,MD,94,COMANDO DO EXÉRCITO,C.EXER,COMANDO DO EXÉRCITO,C.EXER,202203,81,31,112,3722,5
41066,MINISTÉRIO DA DEFESA,MD,185,COMANDO DA MARINHA,C.MAR,COMANDO DA MARINHA,C.MAR,202203,21,3,24,3166,185
235876,MINISTÉRIO DA ECONOMIA,ME,240,"INSTITUTO NACIONAL DE METROLOGIA, QUALIDADE E TECNOLOGIA",INMETRO,"INSTITUTO NACIONAL DE METROLOGIA, QUALIDADE E TECNOLOGIA",INMETRO,202203,18,4,22,728,0
235876,MINISTÉRIO DA ECONOMIA,ME,382,INSTITUTO NACIONAL DA PROPRIEDADE INDUSTRIAL,INPI,INSTITUTO NACIONAL DA PROPRIEDADE INDUSTRIAL,INPI,202203,13,1,14,942,0
