NOME,SIGLA,RESPOSTA
ADVOCACIA-GERAL DA UNIÃO,AGU,NÃO INFORMADO
AGÊNCIA ESPACIAL BRASILEIRA,AEB,OUTROS
AGÊNCIA NACIONAL DE ÁGUAS,ANA,OUTROS
AGÊNCIA NACIONAL DE AVIAÇÃO CIVIL,ANAC,OUTROS
AGÊNCIA NACIONAL DE ENERGIA ELÉTRICA,ANEEL,OUTROS
AGÊNCIA NACIONAL DE MINERAÇÃO,ANM,DIVISÃO
AGÊNCIA NACIONAL DE SAÚDE SUPLEMENTAR,ANS,OUTROS
AGÊNCIA NACIONAL DE TELECOMUNICAÇÕES,ANATEL,OUTROS
AGÊNCIA NACIONAL DE TRANSPORTES AQUAVIÁRIOS,ANTAQ,NÃO INFORMADO
AGÊNCIA NACIONAL DE TRANSPORTES TERRESTRES,ANTT,OUTROS
AGÊNCIA NACIONAL DE VIGILÂNCIA SANITÁRIA,ANVISA,OUTROS
AGÊNCIA NACIONAL DO CINEMA,ANCINE,SECRETARIA
"AGÊNCIA NACIONAL DO PETRÓLEO, GÁS NATURAL E BIOCOMBUSTÍVEIS",ANP,SECRETARIA
BANCO CENTRAL DO BRASIL,BACEN,OUTROS
CASA CIVIL DA PRESIDÊNCIA DA REPÚBLICA,CC-PR,DIRETORIA
CENTRO FEDERAL DE EDUCAÇÃO TECNOLÓGICA - CELSO SUCKOW DA FONSECA -,CEFET-RJ,OUTROS
CENTRO FEDERAL DE EDUCAÇÃO TECNOLÓGICA DE MINAS GERAIS,CEFET-MG,DIRETORIA
COLÉGIO PEDRO II,CP II,ASSESSORIA
COMANDO DA AERONÁUTICA,COMAER,OUTROS
COMANDO DA MARINHA,CMAR,OUTROS
COMANDO DO EXÉRCITO,CEX,NÃO INFORMADO
COMISSÃO DE VALORES MOBILIÁRIOS,CVM,ASSESSORIA
COMISSÃO NACIONAL DE ENERGIA NUCLEAR,CNEN,ASSESSORIA
CONSELHO ADMINISTRATIVO DE DEFESA ECONÔMICA,CADE,NÃO INFORMADO
CONSELHO NACIONAL DE DESENVOLVIMENTO CIENTÍFICO E TECNOLÓGICO,CNPQ,OUTROS
CONTROLADORIA-GERAL DA UNIÃO,CGU,ASSESSORIA
DEPARTAMENTO NACIONAL DE INFRAESTRUTURA DE TRANSPORTES,DNIT,COORDENAÇÃO
DEPARTAMENTO NACIONAL DE OBRAS CONTRA AS SECAS,DNOCS,NÃO INFORMADO
FUNDAÇÃO ALEXANDRE DE GUSMÃO,FUNAG,NÃO INFORMADO
FUNDAÇÃO BIBLIOTECA NACIONAL,FBN,NÃO INFORMADO
FUNDAÇÃO CASA DE RUI BARBOSA,FCRB,NÃO INFORMADO
FUNDAÇÃO COORDENAÇÃO DE APERFEIÇOAMENTO DE PESSOAL DE NÍVEL SUPERIOR,CAPES,OUTROS
FUNDAÇÃO CULTURAL PALMARES,FCP,NÃO INFORMADO
FUNDAÇÃO DE PREVIDÊNCIA COMPLEMENTAR DO SERVIDOR PÚBLICO FEDERAL DO PODER EXECUTIVO,FUNPRESP-EXE,NÃO INFORMADO
FUNDAÇÃO ESCOLA NACIONAL DE ADMINISTRAÇÃO PÚBLICA,ENAP,OUTROS
FUNDAÇÃO INSTITUTO BRASILEIRO DE GEOGRAFIA E ESTATÍSTICA,IBGE,ASSESSORIA
FUNDAÇÃO INSTITUTO DE PESQUISA ECONÔMICA APLICADA,IPEA,NÃO INFORMADO
FUNDAÇÃO JOAQUIM NABUCO,FUNDAJ,OUTROS
"FUNDAÇÃO JORGE DUPRAT FIGUEIREDO, DE SEGURANÇA E MEDICINA DO TRABALHO",FUNDACENTRO,COORDENAÇÃO
FUNDAÇÃO NACIONAL DE ARTES,FUNARTE,OUTROS
FUNDAÇÃO NACIONAL DE SAÚDE,FUNASA,OUTROS
FUNDAÇÃO NACIONAL DO ÍNDIO,FUNAI,NÃO INFORMADO
FUNDAÇÃO OSWALDO CRUZ,FIOCRUZ,ASSESSORIA
FUNDAÇÃO UNIVERSIDADE DE BRASÍLIA,UNB,PRÓ-REITORIA
FUNDAÇÃO UNIVERSIDADE DO AMAZONAS,UFAM,DIVISÃO
FUNDAÇÃO UNIVERSIDADE FEDERAL DA GRANDE DOURADOS,UFGD,NÃO INFORMADO
FUNDAÇÃO UNIVERSIDADE FEDERAL DE CIÊNCIAS DA SAÚDE DE PORTO ALEGRE,UFCSPA,OUTROS
FUNDAÇÃO UNIVERSIDADE FEDERAL DE MATO GROSSO,UFMT,NÃO INFORMADO
FUNDAÇÃO UNIVERSIDADE FEDERAL DE MATO GROSSO DO SUL,UFMS,OUTROS
FUNDAÇÃO UNIVERSIDADE FEDERAL DE OURO PRETO,UFOP,OUTROS
FUNDAÇÃO UNIVERSIDADE FEDERAL DE PELOTAS,UFPEL,NÃO INFORMADO
FUNDAÇÃO UNIVERSIDADE FEDERAL DE RONDÔNIA,UNIR,COORDENAÇÃO
FUNDAÇÃO UNIVERSIDADE FEDERAL DE RORAIMA,UFRR,DIRETORIA
FUNDAÇÃO UNIVERSIDADE FEDERAL DE SÃO CARLOS,UFSCAR,DEPARTAMENTO
FUNDAÇÃO UNIVERSIDADE FEDERAL DE SÃO JOÃO DEL REI,FUNREI,PRÓ-REITORIA
FUNDAÇÃO UNIVERSIDADE FEDERAL DE SERGIPE,UFS,NÃO INFORMADO
FUNDAÇÃO UNIVERSIDADE FEDERAL DE VIÇOSA,UFV,DIRETORIA
FUNDAÇÃO UNIVERSIDADE FEDERAL DO ABC,UFABC,NÃO INFORMADO
FUNDAÇÃO UNIVERSIDADE FEDERAL DO ACRE,UFAC,ASSESSORIA
FUNDAÇÃO UNIVERSIDADE FEDERAL DO AMAPÁ,UNIFAP,PRÓ-REITORIA
FUNDAÇÃO UNIVERSIDADE FEDERAL DO MARANHÃO,UFMA,DIVISÃO
FUNDAÇÃO UNIVERSIDADE FEDERAL DO PAMPA,UNIPAMPA,DIVISÃO
FUNDAÇÃO UNIVERSIDADE FEDERAL DO PIAUÍ,UFPI,NÃO INFORMADO
FUNDAÇÃO UNIVERSIDADE FEDERAL DO RIO GRANDE,FURG,SECRETARIA
FUNDAÇÃO UNIVERSIDADE FEDERAL DO TOCANTINS,UFT,NÃO INFORMADO
FUNDAÇÃO UNIVERSIDADE FEDERAL DO VALE DO SÃO FRANCISCO,UNIVASF,DIRETORIA
FUNDO NACIONAL DE DESENVOLVIMENTO DA EDUCAÇÃO,FNDE,NÃO INFORMADO
GABINETE DE SEGURANÇA INSTITUCIONAL DA PRESIDÊNCIA DA REPÚBLICA,GSI/PR,ASSESSORIA
INSTITUTO BRASILEIRO DE MUSEUS,IBRAM,NÃO INFORMADO
INSTITUTO BRASILEIRO DO MEIO AMBIENTE E DOS RECURSOS NATURAIS RENOVÁVEIS,IBAMA,OUTROS
INSTITUTO CHICO MENDES DE CONSERVAÇÃO DA BIODIVERSIDADE,ICMBIO,DIVISÃO
INSTITUTO DE PESQUISAS JARDIM BOTÂNICO DO RIO DE JANEIRO,JBRJ,NÃO INFORMADO
INSTITUTO DO PATRIMÔNIO HISTÓRICO E ARTÍSTICO NACIONAL,IPHAN,ASSESSORIA
"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA BAIANO",IF BAIANO,NÃO INFORMADO
"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA CATARINENSE",IFC,NÃO INFORMADO
