Column1;Column2;Column3
NOME;SIGLA;ANÁLISE UGI
FUNDAÇÃO UNIVERSIDADE FEDERAL DE RORAIMA;UFRR;3. DOCUMENTAÇÃO EM ANÁLISE
MINISTÉRIO DO TRABALHO E PREVIDÊNCIA;MTP;1. ÓRGÃO/ENTIDADE NÃO ENVIOU A DOCUMENTAÇÃO
AGÊNCIA NACIONAL DE SAÚDE SUPLEMENTAR;ANS;2. DOCUMENTAÇÃO AINDA NÃO ANALISADA
AGÊNCIA NACIONAL DE VIGILÂNCIA SANITÁRIA;ANVISA;2. DOCUMENTAÇÃO AINDA NÃO ANALISADA
AGÊNCIA NACIONAL DO CINEMA;ANCINE;2. DOCUMENTAÇÃO AINDA NÃO ANALISADA
BANCO CENTRAL DO BRASIL;BACEN;2. DOCUMENTAÇÃO AINDA NÃO ANALISADA
CASA CIVIL DA PRESIDÊNCIA DA REPÚBLICA;CC-PR;2. DOCUMENTAÇÃO AINDA NÃO ANALISADA
CENTRO FEDERAL DE EDUCAÇÃO TECNOLÓGICA - CELSO SUCKOW DA FONSECA -;CEFET-RJ;2. DOCUMENTAÇÃO AINDA NÃO ANALISADA
CENTRO FEDERAL DE EDUCAÇÃO TECNOLÓGICA DE MINAS GERAIS;CEFET-MG;2. DOCUMENTAÇÃO AINDA NÃO ANALISADA
COLÉGIO PEDRO II;CP II;2. DOCUMENTAÇÃO AINDA NÃO ANALISADA
COMANDO DO EXÉRCITO;CEX;2. DOCUMENTAÇÃO AINDA NÃO ANALISADA
COMISSÃO DE VALORES MOBILIÁRIOS;CVM;2. DOCUMENTAÇÃO AINDA NÃO ANALISADA
COMISSÃO NACIONAL DE ENERGIA NUCLEAR;CNEN;2. DOCUMENTAÇÃO AINDA NÃO ANALISADA
CONSELHO ADMINISTRATIVO DE DEFESA ECONÔMICA;CADE;2. DOCUMENTAÇÃO AINDA NÃO ANALISADA
CONSELHO NACIONAL DE DESENVOLVIMENTO CIENTÍFICO E TECNOLÓGICO;CNPQ;2. DOCUMENTAÇÃO AINDA NÃO ANALISADA
DEPARTAMENTO NACIONAL DE INFRAESTRUTURA DE TRANSPORTES;DNIT;2. DOCUMENTAÇÃO AINDA NÃO ANALISADA
FUNDAÇÃO ALEXANDRE DE GUSMÃO;FUNAG;2. DOCUMENTAÇÃO AINDA NÃO ANALISADA
FUNDAÇÃO BIBLIOTECA NACIONAL;FBN;2. DOCUMENTAÇÃO AINDA NÃO ANALISADA
FUNDAÇÃO CASA DE RUI BARBOSA;FCRB;2. DOCUMENTAÇÃO AINDA NÃO ANALISADA
FUNDAÇÃO COORDENAÇÃO DE APERFEIÇOAMENTO DE PESSOAL DE NÍVEL SUPERIOR;CAPES;2. DOCUMENTAÇÃO AINDA NÃO ANALISADA
FUNDAÇÃO CULTURAL PALMARES;FCP;2. DOCUMENTAÇÃO AINDA NÃO ANALISADA
FUNDAÇÃO DE PREVIDÊNCIA COMPLEMENTAR DO SERVIDOR PÚBLICO FEDERAL DO PODER EXECUTIVO;FUNPRESP-EXE;2. DOCUMENTAÇÃO AINDA NÃO ANALISADA
FUNDAÇÃO ESCOLA NACIONAL DE ADMINISTRAÇÃO PÚBLICA;ENAP;2. DOCUMENTAÇÃO AINDA NÃO ANALISADA
FUNDAÇÃO INSTITUTO BRASILEIRO DE GEOGRAFIA E ESTATÍSTICA;IBGE;2. DOCUMENTAÇÃO AINDA NÃO ANALISADA
FUNDAÇÃO INSTITUTO DE PESQUISA ECONÔMICA APLICADA;IPEA;2. DOCUMENTAÇÃO AINDA NÃO ANALISADA
FUNDAÇÃO JORGE DUPRAT FIGUEIREDO DE SEGURANÇA E MEDICINA DO TRABALHO;FUNDACENTRO;2. DOCUMENTAÇÃO AINDA NÃO ANALISADA
FUNDAÇÃO NACIONAL DE ARTES;FUNARTE;2. DOCUMENTAÇÃO AINDA NÃO ANALISADA
FUNDAÇÃO NACIONAL DE SAÚDE;FUNASA;2. DOCUMENTAÇÃO AINDA NÃO ANALISADA
FUNDAÇÃO NACIONAL DO ÍNDIO;FUNAI;2. DOCUMENTAÇÃO AINDA NÃO ANALISADA
FUNDAÇÃO OSWALDO CRUZ;FIOCRUZ;2. DOCUMENTAÇÃO AINDA NÃO ANALISADA
FUNDAÇÃO UNIVERSIDADE DE BRASÍLIA;UNB;2. DOCUMENTAÇÃO AINDA NÃO ANALISADA
FUNDAÇÃO UNIVERSIDADE FEDERAL DA GRANDE DOURADOS;UFGD;2. DOCUMENTAÇÃO AINDA NÃO ANALISADA
FUNDAÇÃO UNIVERSIDADE FEDERAL DE MATO GROSSO;UFMT;2. DOCUMENTAÇÃO AINDA NÃO ANALISADA
FUNDAÇÃO UNIVERSIDADE FEDERAL DE OURO PRETO;UFOP;2. DOCUMENTAÇÃO AINDA NÃO ANALISADA
FUNDAÇÃO UNIVERSIDADE FEDERAL DE PELOTAS;UFPEL;2. DOCUMENTAÇÃO AINDA NÃO ANALISADA
FUNDAÇÃO UNIVERSIDADE FEDERAL DE SÃO JOÃO DEL REI;FUNREI;2. DOCUMENTAÇÃO AINDA NÃO ANALISADA
