NOME,SIGLA,RESPOSTA
ADVOCACIA-GERAL DA UNIÃO,AGU,SIM
AGÊNCIA ESPACIAL BRASILEIRA,AEB,NÃO
AGÊNCIA NACIONAL DE ÁGUAS,ANA,SIM
AGÊNCIA NACIONAL DE AVIAÇÃO CIVIL,ANAC,SIM
AGÊNCIA NACIONAL DE ENERGIA ELÉTRICA,ANEEL,SIM
AGÊNCIA NACIONAL DE MINERAÇÃO,ANM,SIM
AGÊNCIA NACIONAL DE SAÚDE SUPLEMENTAR,ANS,SIM
AGÊNCIA NACIONAL DE TELECOMUNICAÇÕES,ANATEL,SIM
AGÊNCIA NACIONAL DE TRANSPORTES AQUAVIÁRIOS,ANTAQ,SIM
AGÊNCIA NACIONAL DE TRANSPORTES TERRESTRES,ANTT,SIM
AGÊNCIA NACIONAL DE VIGILÂNCIA SANITÁRIA,ANVISA,SIM
AGÊNCIA NACIONAL DO CINEMA,ANCINE,SIM
"AGÊNCIA NACIONAL DO PETRÓLEO, GÁS NATURAL E BIOCOMBUSTÍVEIS",ANP,SIM
BANCO CENTRAL DO BRASIL,BACEN,SIM
CASA CIVIL DA PRESIDÊNCIA DA REPÚBLICA,CC-PR,SIM
CENTRO FEDERAL DE EDUCAÇÃO TECNOLÓGICA - CELSO SUCKOW DA FONSECA -,CEFET-RJ,SIM
CENTRO FEDERAL DE EDUCAÇÃO TECNOLÓGICA DE MINAS GERAIS,CEFET-MG,SIM
COLÉGIO PEDRO II,CP II,SIM
COMANDO DA AERONÁUTICA,COMAER,SIM
COMANDO DA MARINHA,CMAR,SIM
COMANDO DO EXÉRCITO,CEX,SIM
COMISSÃO DE VALORES MOBILIÁRIOS,CVM,SIM
COMISSÃO NACIONAL DE ENERGIA NUCLEAR,CNEN,SIM
CONSELHO ADMINISTRATIVO DE DEFESA ECONÔMICA,CADE,SIM
CONSELHO NACIONAL DE DESENVOLVIMENTO CIENTÍFICO E TECNOLÓGICO,CNPQ,SIM
CONTROLADORIA-GERAL DA UNIÃO,CGU,SIM
DEPARTAMENTO NACIONAL DE INFRAESTRUTURA DE TRANSPORTES,DNIT,SIM
DEPARTAMENTO NACIONAL DE OBRAS CONTRA AS SECAS,DNOCS,SIM
FUNDAÇÃO ALEXANDRE DE GUSMÃO,FUNAG,SIM
FUNDAÇÃO BIBLIOTECA NACIONAL,FBN,SIM
FUNDAÇÃO CASA DE RUI BARBOSA,FCRB,NÃO
FUNDAÇÃO COORDENAÇÃO DE APERFEIÇOAMENTO DE PESSOAL DE NÍVEL SUPERIOR,CAPES,SIM
FUNDAÇÃO CULTURAL PALMARES,FCP,SIM
FUNDAÇÃO DE PREVIDÊNCIA COMPLEMENTAR DO SERVIDOR PÚBLICO FEDERAL DO PODER EXECUTIVO,FUNPRESP-EXE,SIM
FUNDAÇÃO ESCOLA NACIONAL DE ADMINISTRAÇÃO PÚBLICA,ENAP,NÃO
FUNDAÇÃO INSTITUTO BRASILEIRO DE GEOGRAFIA E ESTATÍSTICA,IBGE,SIM
FUNDAÇÃO INSTITUTO DE PESQUISA ECONÔMICA APLICADA,IPEA,SIM
FUNDAÇÃO JOAQUIM NABUCO,FUNDAJ,NÃO
"FUNDAÇÃO JORGE DUPRAT FIGUEIREDO, DE SEGURANÇA E MEDICINA DO TRABALHO",FUNDACENTRO,SIM
FUNDAÇÃO NACIONAL DE ARTES,FUNARTE,NÃO
FUNDAÇÃO NACIONAL DE SAÚDE,FUNASA,SIM
FUNDAÇÃO NACIONAL DO ÍNDIO,FUNAI,SIM
FUNDAÇÃO OSWALDO CRUZ,FIOCRUZ,SIM
FUNDAÇÃO UNIVERSIDADE DE BRASÍLIA,UNB,SIM
FUNDAÇÃO UNIVERSIDADE DO AMAZONAS,UFAM,SIM
FUNDAÇÃO UNIVERSIDADE FEDERAL DA GRANDE DOURADOS,UFGD,SIM
FUNDAÇÃO UNIVERSIDADE FEDERAL DE CIÊNCIAS DA SAÚDE DE PORTO ALEGRE,UFCSPA,SIM
FUNDAÇÃO UNIVERSIDADE FEDERAL DE MATO GROSSO,UFMT,SIM
FUNDAÇÃO UNIVERSIDADE FEDERAL DE MATO GROSSO DO SUL,UFMS,SIM
FUNDAÇÃO UNIVERSIDADE FEDERAL DE OURO PRETO,UFOP,NÃO
FUNDAÇÃO UNIVERSIDADE FEDERAL DE PELOTAS,UFPEL,SIM
FUNDAÇÃO UNIVERSIDADE FEDERAL DE RONDÔNIA,UNIR,SIM
FUNDAÇÃO UNIVERSIDADE FEDERAL DE RORAIMA,UFRR,NÃO
FUNDAÇÃO UNIVERSIDADE FEDERAL DE SÃO CARLOS,UFSCAR,SIM
FUNDAÇÃO UNIVERSIDADE FEDERAL DE SÃO JOÃO DEL REI,FUNREI,SIM
FUNDAÇÃO UNIVERSIDADE FEDERAL DE SERGIPE,UFS,SIM
FUNDAÇÃO UNIVERSIDADE FEDERAL DE VIÇOSA,UFV,SIM
