NOME,SIGLA,STATUS
ADVOCACIA-GERAL DA UNIÃO,AGU,1. NÃO INFORMADO
AGÊNCIA ESPACIAL BRASILEIRA,AEB,3. POSSUI
AGÊNCIA NACIONAL DE ÁGUAS,ANA,1. NÃO INFORMADO
AGÊNCIA NACIONAL DE AVIAÇÃO CIVIL,ANAC,3. POSSUI
AGÊNCIA NACIONAL DE ENERGIA ELÉTRICA,ANEEL,1. NÃO INFORMADO
AGÊNCIA NACIONAL DE MINERAÇÃO,ANM,1. NÃO INFORMADO
AGÊNCIA NACIONAL DE SAÚDE SUPLEMENTAR,ANS,3. POSSUI
AGÊNCIA NACIONAL DE TELECOMUNICAÇÕES,ANATEL,1. NÃO INFORMADO
AGÊNCIA NACIONAL DE TRANSPORTES AQUAVIÁRIOS,ANTAQ,1. NÃO INFORMADO
AGÊNCIA NACIONAL DE TRANSPORTES TERRESTRES,ANTT,3. POSSUI
AGÊNCIA NACIONAL DE VIGILÂNCIA SANITÁRIA,ANVISA,3. POSSUI
AGÊNCIA NACIONAL DO CINEMA,ANCINE,1. NÃO INFORMADO
"AGÊNCIA NACIONAL DO PETRÓLEO, GÁS NATURAL E BIOCOMBUSTÍVEIS",ANP,3. POSSUI
BANCO CENTRAL DO BRASIL,BACEN,3. POSSUI
CASA CIVIL DA PRESIDÊNCIA DA REPÚBLICA,CC-PR,1. NÃO INFORMADO
CENTRO FEDERAL DE EDUCAÇÃO TECNOLÓGICA - CELSO SUCKOW DA FONSECA -,CEFET-RJ,3. POSSUI
CENTRO FEDERAL DE EDUCAÇÃO TECNOLÓGICA DE MINAS GERAIS,CEFET-MG,3. POSSUI
COLÉGIO PEDRO II,CP II,3. POSSUI
COMANDO DA AERONÁUTICA,COMAER,3. POSSUI
COMANDO DA MARINHA,CMAR,3. POSSUI
COMANDO DO EXÉRCITO,CEX,1. NÃO INFORMADO
COMISSÃO DE VALORES MOBILIÁRIOS,CVM,3. POSSUI
COMISSÃO NACIONAL DE ENERGIA NUCLEAR,CNEN,2. NÃO POSSUI
CONSELHO ADMINISTRATIVO DE DEFESA ECONÔMICA,CADE,1. NÃO INFORMADO
CONSELHO NACIONAL DE DESENVOLVIMENTO CIENTÍFICO E TECNOLÓGICO,CNPQ,3. POSSUI
CONTROLADORIA-GERAL DA UNIÃO,CGU,1. NÃO INFORMADO
DEPARTAMENTO NACIONAL DE INFRAESTRUTURA DE TRANSPORTES,DNIT,1. NÃO INFORMADO
DEPARTAMENTO NACIONAL DE OBRAS CONTRA AS SECAS,DNOCS,1. NÃO INFORMADO
FUNDAÇÃO ALEXANDRE DE GUSMÃO,FUNAG,1. NÃO INFORMADO
FUNDAÇÃO BIBLIOTECA NACIONAL,FBN,1. NÃO INFORMADO
FUNDAÇÃO CASA DE RUI BARBOSA,FCRB,1. NÃO INFORMADO
FUNDAÇÃO COORDENAÇÃO DE APERFEIÇOAMENTO DE PESSOAL DE NÍVEL SUPERIOR,CAPES,2. NÃO POSSUI
FUNDAÇÃO CULTURAL PALMARES,FCP,1. NÃO INFORMADO
FUNDAÇÃO DE PREVIDÊNCIA COMPLEMENTAR DO SERVIDOR PÚBLICO FEDERAL DO PODER EXECUTIVO,FUNPRESP-EXE,1. NÃO INFORMADO
FUNDAÇÃO ESCOLA NACIONAL DE ADMINISTRAÇÃO PÚBLICA,ENAP,3. POSSUI
FUNDAÇÃO INSTITUTO BRASILEIRO DE GEOGRAFIA E ESTATÍSTICA,IBGE,3. POSSUI
FUNDAÇÃO INSTITUTO DE PESQUISA ECONÔMICA APLICADA,IPEA,1. NÃO INFORMADO
FUNDAÇÃO JOAQUIM NABUCO,FUNDAJ,2. NÃO POSSUI
"FUNDAÇÃO JORGE DUPRAT FIGUEIREDO, DE SEGURANÇA E MEDICINA DO TRABALHO",FUNDACENTRO,3. POSSUI
FUNDAÇÃO NACIONAL DE ARTES,FUNARTE,2. NÃO POSSUI
FUNDAÇÃO NACIONAL DE SAÚDE,FUNASA,1. NÃO INFORMADO
