NOME,SIGLA,AVALIAÇÃO
ADVOCACIA-GERAL DA UNIÃO,AGU,2. EM EXECUÇÃO
AGÊNCIA ESPACIAL BRASILEIRA,AEB,2. EM EXECUÇÃO
AGÊNCIA NACIONAL DE ÁGUAS,ANA,2. EM EXECUÇÃO
AGÊNCIA NACIONAL DE AVIAÇÃO CIVIL,ANAC,2. EM EXECUÇÃO
AGÊNCIA NACIONAL DE ENERGIA ELÉTRICA,ANEEL,2. EM EXECUÇÃO
AGÊNCIA NACIONAL DE MINERAÇÃO,ANM,2. EM EXECUÇÃO
AGÊNCIA NACIONAL DE SAÚDE SUPLEMENTAR,ANS,1. NÃO INICIADA
AGÊNCIA NACIONAL DE TELECOMUNICAÇÕES,ANATEL,2. EM EXECUÇÃO
AGÊNCIA NACIONAL DE TRANSPORTES AQUAVIÁRIOS,ANTAQ,2. EM EXECUÇÃO
AGÊNCIA NACIONAL DE TRANSPORTES TERRESTRES,ANTT,2. EM EXECUÇÃO
AGÊNCIA NACIONAL DE VIGILÂNCIA SANITÁRIA,ANVISA,1. NÃO INICIADA
AGÊNCIA NACIONAL DO CINEMA,ANCINE,1. NÃO INICIADA
"AGÊNCIA NACIONAL DO PETRÓLEO, GÁS NATURAL E BIOCOMBUSTÍVEIS",ANP,2. EM EXECUÇÃO
BANCO CENTRAL DO BRASIL,BACEN,1. NÃO INICIADA
CASA CIVIL DA PRESIDÊNCIA DA REPÚBLICA,CC-PR,1. NÃO INICIADA
CENTRO FEDERAL DE EDUCAÇÃO TECNOLÓGICA - CELSO SUCKOW DA FONSECA -,CEFET-RJ,1. NÃO INICIADA
CENTRO FEDERAL DE EDUCAÇÃO TECNOLÓGICA DE MINAS GERAIS,CEFET-MG,1. NÃO INICIADA
COLÉGIO PEDRO II,CP II,1. NÃO INICIADA
COMANDO DA AERONÁUTICA,COMAER,2. EM EXECUÇÃO
COMANDO DA MARINHA,CMAR,2. EM EXECUÇÃO
COMANDO DO EXÉRCITO,CEX,1. NÃO INICIADA
COMISSÃO DE VALORES MOBILIÁRIOS,CVM,1. NÃO INICIADA
COMISSÃO NACIONAL DE ENERGIA NUCLEAR,CNEN,1. NÃO INICIADA
CONSELHO ADMINISTRATIVO DE DEFESA ECONÔMICA,CADE,1. NÃO INICIADA
CONSELHO NACIONAL DE DESENVOLVIMENTO CIENTÍFICO E TECNOLÓGICO,CNPQ,1. NÃO INICIADA
CONTROLADORIA-GERAL DA UNIÃO,CGU,4. NÃO SE APLICA
DEPARTAMENTO NACIONAL DE INFRAESTRUTURA DE TRANSPORTES,DNIT,1. NÃO INICIADA
DEPARTAMENTO NACIONAL DE OBRAS CONTRA AS SECAS,DNOCS,2. EM EXECUÇÃO
FUNDAÇÃO ALEXANDRE DE GUSMÃO,FUNAG,1. NÃO INICIADA
FUNDAÇÃO BIBLIOTECA NACIONAL,FBN,1. NÃO INICIADA
FUNDAÇÃO CASA DE RUI BARBOSA,FCRB,1. NÃO INICIADA
FUNDAÇÃO COORDENAÇÃO DE APERFEIÇOAMENTO DE PESSOAL DE NÍVEL SUPERIOR,CAPES,1. NÃO INICIADA
